127.0.0.1 - - [28/Jun/2023:11:19:37 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:19:38 +0530] "GET /Pharmacy/faces/Login.xhtml HTTP/1.1" 200 6442
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:19:38 +0530] "GET /Pharmacy/faces/javax.faces.resource/jquery/jquery.js;jsessionid=F98DFBA1A34277FE2D2CFAEA54C1FB58?ln=primefaces&v=12.0.0 HTTP/1.1" 200 89756
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:19:38 +0530] "GET /Pharmacy/faces/javax.faces.resource/primeicons/primeicons.css;jsessionid=F98DFBA1A34277FE2D2CFAEA54C1FB58?ln=primefaces&v=12.0.0 HTTP/1.1" 200 11199
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:19:38 +0530] "GET /Pharmacy/faces/javax.faces.resource/core.js;jsessionid=F98DFBA1A34277FE2D2CFAEA54C1FB58?ln=primefaces&v=12.0.0 HTTP/1.1" 200 89155
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:19:38 +0530] "GET /Pharmacy/faces/javax.faces.resource/jquery/jquery-plugins.js;jsessionid=F98DFBA1A34277FE2D2CFAEA54C1FB58?ln=primefaces&v=12.0.0 HTTP/1.1" 200 146589
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:19:38 +0530] "GET /Pharmacy/faces/javax.faces.resource/watermark/watermark.js;jsessionid=F98DFBA1A34277FE2D2CFAEA54C1FB58?ln=primefaces&v=12.0.0 HTTP/1.1" 200 323
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:19:38 +0530] "GET /Pharmacy/faces/javax.faces.resource/jsf.js?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:19:38 +0530] "GET /Pharmacy/faces/javax.faces.resource/components.js;jsessionid=F98DFBA1A34277FE2D2CFAEA54C1FB58?ln=primefaces&v=12.0.0 HTTP/1.1" 200 492154
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:19:38 +0530] "GET /Pharmacy/faces/javax.faces.resource/theme.css;jsessionid=F98DFBA1A34277FE2D2CFAEA54C1FB58?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 200 199176
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:19:38 +0530] "GET /Pharmacy/faces/javax.faces.resource/components.css;jsessionid=F98DFBA1A34277FE2D2CFAEA54C1FB58?ln=primefaces&v=12.0.0 HTTP/1.1" 200 108055
