127.0.0.1 - - [02/Aug/2023:14:40:26 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:40:27 +0530] "GET /Pharmacy/faces/Home.xhtml HTTP/1.1" 200 9442
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:40:27 +0530] "GET /Pharmacy/faces/javax.faces.resource/theme.css?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:40:27 +0530] "GET /Pharmacy/faces/javax.faces.resource/components.css?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:40:27 +0530] "GET /Pharmacy/faces/javax.faces.resource/primeicons/primeicons.css?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:40:27 +0530] "GET /Pharmacy/faces/javax.faces.resource/components.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:40:27 +0530] "GET /Pharmacy/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:40:27 +0530] "GET /Pharmacy/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:40:27 +0530] "GET /Pharmacy/faces/javax.faces.resource/core.js?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:40:27 +0530] "GET /Pharmacy/faces/javax.faces.resource/jsf.js?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:42:01 +0530] "POST /Pharmacy/faces/Home.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:42:01 +0530] "GET /Pharmacy/error.xhtml HTTP/1.1" 200 2715
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:42:04 +0530] "GET /Pharmacy/Login.xhtml HTTP/1.1" 200 5992
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:42:04 +0530] "GET /Pharmacy/javax.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:42:04 +0530] "GET /Pharmacy/javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:42:04 +0530] "GET /Pharmacy/javax.faces.resource/components.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:42:04 +0530] "GET /Pharmacy/javax.faces.resource/core.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:42:04 +0530] "GET /Pharmacy/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:42:04 +0530] "GET /Pharmacy/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:42:04 +0530] "GET /Pharmacy/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:42:04 +0530] "GET /Pharmacy/javax.faces.resource/components.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:42:04 +0530] "GET /Pharmacy/javax.faces.resource/watermark/watermark.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:42:06 +0530] "POST /Pharmacy/Login.xhtml HTTP/1.1" 200 12739
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:42:06 +0530] "GET /Pharmacy/javax.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:42:06 +0530] "GET /Pharmacy/javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:42:06 +0530] "GET /Pharmacy/javax.faces.resource/core.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:42:06 +0530] "GET /Pharmacy/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:42:06 +0530] "GET /Pharmacy/javax.faces.resource/components.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:42:06 +0530] "GET /Pharmacy/javax.faces.resource/components.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:42:06 +0530] "GET /Pharmacy/javax.faces.resource/watermark/watermark.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:42:06 +0530] "GET /Pharmacy/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:42:06 +0530] "GET /Pharmacy/javax.faces.resource/primeicons/primeicons.woff2.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:44:42 +0530] "POST /Pharmacy/AddPharmacyDetail.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:44:42 +0530] "GET /Pharmacy/Login.xhtml HTTP/1.1" 200 6030
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:44:42 +0530] "GET /Pharmacy/javax.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:44:42 +0530] "GET /Pharmacy/javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:44:42 +0530] "GET /Pharmacy/javax.faces.resource/components.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:44:42 +0530] "GET /Pharmacy/javax.faces.resource/core.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:44:42 +0530] "GET /Pharmacy/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:44:42 +0530] "GET /Pharmacy/javax.faces.resource/watermark/watermark.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:44:42 +0530] "GET /Pharmacy/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:44:42 +0530] "GET /Pharmacy/javax.faces.resource/components.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:44:42 +0530] "GET /Pharmacy/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:44:56 +0530] "POST /Pharmacy/Login.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:44:56 +0530] "GET /Pharmacy/Home.xhtml HTTP/1.1" 200 9435
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:44:56 +0530] "GET /Pharmacy/javax.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:44:56 +0530] "GET /Pharmacy/javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
